tools,link,description,Language,License,Availability,Resource type,Purpose and Algorithm,Data point edit access(pre/post),preprocess mitigation,in process mitigation,post processs,detect/mitigate,Active status
AI-secure/DecodingTrust,https://github.com/AI-secure/DecodingTrust,A Comprehensive Assessment of Trustworthiness in GPT Models,python,CC-BY-SA-4.0,open-source,tool/ API,"GPT models, analysis",,,,,detect,Active
oracle/guardian-ai,https://github.com/oracle/guardian-ai,Oracle Guardian AI Open Source Project is a library consisting of tools to assess fairness/bias and privacy of machine learning models and data sets.,python,UPL-1.0 license,open-source,library,"generic,analysis",,,statistical_parity,,detect and mitigate,Active
AI4LIFE-GROUP/OpenXAI,https://github.com/AI4LIFE-GROUP/OpenXAI,OpenXAI : Towards a Transparent Evaluation of Model Explanations,python,MIT,open-source,library," post hoc explanation method,analysis",,,"lime shape, vanilla gradients",,detect,Active
JohnSnowLabs/langtest,https://github.com/JohnSnowLabs/langtest,"Deliver safe & effective language models
",python,Apache-2.0 license,open-source,tool,"LLM &NLP , analysis",,data augmenting,,,detect and mitigate,Active
vanderschaarlab/synthcity,https://github.com/vanderschaarlab/synthcity,"A library for generating and evaluating synthetic tabular data for privacy, fairness and data augmentation.",python,Apache-2.0 license,open-source,library,"(Bayesian,Generative adversarial networks,Variational autoencoder,Normalizing Flows,Diffusion models, random forest,Static Survival analysis methods,Time-Series and Time-Series Survival Analysis methods),analysis",,,decaf	,,detect,Active
deel-ai/influenciae,https://github.com/deel-ai/influenciae,nfluenciae is a Tensorflow Toolbox for Influence Functions,python,MIT license,open-source, Toolbox," Influence Functions, guidance",,,,,detect,active
FairRankTune,https://kcachel.github.io/fairranktune/,"FairRankTune is a an open-source Python toolkit supporting end-to-end fair ranking workflows, analysis, auditing, and experimentation. FairRankTune provides researchers, practitioners, and educators with a self-contained module for generating ranked data, ranking strategies, and popular ranking-based fairness metrics.",python,BSD-3-Clause ,open-source,toolkit,"ranking, analysis",,,"DetConstSort, Epsilon-Greedy",,detect and mitigate,Active
mlr-org/mcboost,https://github.com/mlr-org/mcboost,Multi-Calibration & Multi-Accuracy Boosting for R,R,GNU Lesser General Public License,open-source,tool,"Multi-Calibration & Multi-Accuracy,analysis ",,,,"auditing algorithm, multicalibration model,auditing data",detect and mitigate,Active
oracle-samples / automlx,https://github.com/oracle-samples/automlx,This repository contains demo notebooks (sample code) for the AutoMLx (automated machine learning and explainability) package from Oracle Labs.,python,UPL-1.0 license,open-source,package,"AutoML(Classification,
Regression,
Forecasting,
Anomaly Detection and
Text Classification), analysis",,,,,detect,Active
aida-ugent/fairret,https://github.com/aida-ugent/fairret,"A fairness library in PyTorch.
",python,MIT,open-source,library,"statistical fairness ,analysis",,Feature selection,,redistribute all individual probability scores of a model,detect and mitigate,Active
Telefonica/XAIoGraphs,https://github.com/Telefonica/XAIoGraphs,XAIoGraphs (eXplainability Articicial Intelligence over Graphs) is an Explicability and Fairness Python library for classification problems with tabulated and discretized data.,python,AGPL-3.0 license,open-source,library,"classification, analysis",,,,,detect,Active
kamyabnazari/fair-energy-ai,https://github.com/kamyabnazari/fair-energy-ai,The Fair Energy AI is an demonstration on how AI models and software relying on them can be transparent and deliver fair results in Energy Management sector.,svelte,MIT,open-source,tool,"Energy Management, guidance",,,,,detect,Active
dssg/aequitas,https://github.com/dssg/aequitas,Bias Auditing & Fair ML Toolkit,python,MIT,open-source,toolkit,"(Decision Trees, Random Forests, Logistic
Regression, and Gradient Boosting),analysis",,PrevalenceSampling,FairGBM,BalancedGroupThreshold,detect,Active
Trusted-AI/AIF360,https://github.com/Trusted-AI/AIF360,"A comprehensive set of fairness metrics for datasets and machine learning models, explanations for these metrics, and algorithms to mitigate bias in datasets and models.","python, R",Apache-2.0 license,open-source,toolkit,"generic,analysis",,"Reweighing, Optimized preprocessing,
Learning fair representations, Disparate impact remover","adversarial debiasing and prejudice re-
mover","equalized odds, calibrated equal-
ized odds, reject option classification",detect and mitigate,Active
drivendataorg/deon,https://github.com/drivendataorg/deon,A command line tool to easily add an ethics checklist to your data science projects.,python,MIT,open-source,tool,"generic,guidance",,,,,detect,Active
fairlearn/fairlearn,https://github.com/fairlearn/fairlearn,A Python package to assess and improve fairness of machine learning models.,python,MIT,open-source,package,"generic,analysis",,CorrelationRemover,"ExponentiatedGradient, GridSearch, AdversarialFairnessClassifier

AdversarialFairnessRegressor",ThresholdOptimizer,detect and mitigate,Active
Tizpaz/Parfait-ML,https://github.com/Tizpaz/Parfait-ML,Implementations for detecting and understanding biases in ML libraries,python,Apache-2.0 license,open-source,tool,"(Regression, Random Forest, SVM, Decision tree),guidance",,"pick a configuration of hyperparameters with the lowest
𝐴𝑂𝐷 and 𝐸𝑂𝐷.",,,detect and mitigate,Active
PAIR-code/what-if-tool,https://github.com/PAIR-code/what-if-tool,"The purpose of the tool is that give people a simple, intuitive, and powerful way to play with a trained ML model on a set of data through a visual interface with absolutely no code required.",python,Apache-2.0 license,open-source,tool,"(black box classification & regression),analysis",,,"Custom thresholds 
Single threshold 
Demographic parity 
Equal opportunity 
Equal accuracy 
Group threshold",,detect and mitigate,Active
tensorflow/fairness-indicators,https://github.com/tensorflow/fairness-indicators,,python,Apache-2.0 license,open-source,toolkit,"generic, analysis(binary and multiclass classifiers)",,,,,detect,Active
"microsoft/responsible-ai-
toolbox","https://github.com/microsoft/responsible-ai-
toolbox","Responsible AI Toolbox is a suite of tools providing model and data exploration and assessment user interfaces and libraries that enable a better understanding of AI systems. These interfaces and libraries empower developers and stakeholders of AI systems to develop and monitor AI more responsibly, and take better data-driven actions.",python,MIT ,open-source,toolbox,"generic,analysis",,"Encoders
Scalers
Basic Imputer
Iterative Imputer
KNN Imputer
Sequential Feature Selection
Feature Selection using Catboost
Identifying correlated features: tutorial
Data Rebalance using imblearn
Data Rebalance using SDV
Using scikit-learn's Pipeline","Cohorts, using scikit learn's pipeline","resampling, reweighting",detect and mitigate,active
